"0","tamaramorrison@hotmail.com","pbkdf2:sha256:600000$SJp0IYQtklXqpXzM$fb1929ae34ef8765bd4eb10f754db31d8920dbdb230415486a9185dc30cd23d1","Gary","Cross","9342 Lori Bypass Suite 711, East Sandra, MP 11019","86848.33"
"1","gwilliams@hotmail.com","pbkdf2:sha256:600000$i6m021LP1Pdid3Wi$219dae2c5b4dbf8fed3960ac2e0f0728e853e9a0b7c6260df141d4bc5153ee9b","Tracy","Robbins","792 Tammy Centers Apt. 258, Davidmouth, TN 23414","7698.45"
"2","craignash@yahoo.com","pbkdf2:sha256:600000$B6Wj2RH2h1G9iwAv$754d6502788e883039fc877bbaa5d0cedbe1e939aedd2a194b146ac0273ee603","Jennifer","MD","1428 Wilson Drives Suite 000, Lake Jordan, MD 48590","90977.65"
"3","shane79@hotmail.com","pbkdf2:sha256:600000$6YhVJhHbCaZw5ZGr$9015652931f05f0bacbfe65021b2b52fe0f1d51e86d95b36ce94ee39d733c56e","Michael","Moore","3492 Lee Crescent, Port Michelletown, MH 69420","73176.43"
"4","gsantana@gmail.com","pbkdf2:sha256:600000$QpnKjedfW6tq1E43$46dd4e1a0384a2fea9bddf21d2272bd152d5a0e62949b49f8185914e412aa35e","Lauren","Robbins","634 Petersen Orchard, Lawsonbury, PR 03185","2489.45"
"5","hhunter@gmail.com","pbkdf2:sha256:600000$kr4k9rUNjWdeDz1u$346ad01ceebfa190fb22db82a57e063b0acf76474ce5a1431807b2e424a7ad16","Shane","Becker","16116 Jessica Burgs Suite 660, Calhounmouth, VA 33607","15115.05"
"6","dana13@yahoo.com","pbkdf2:sha256:600000$CTjfaV0ZYY0S1OWH$d6dca92f420648024bce85ef1d8d58c1a4258fcb9cc7c77da5e12cc223d62e9a","Tracy","Brock","6065 Harris Hill, Davisburgh, WY 14737","41892.76"
"7","jamesbrittany@gmail.com","pbkdf2:sha256:600000$UulPAjD2u9ZeQQvs$4445ded21db3ea9975501670d953aa2be9c14dd424b0ce6a619ec15459e8a493","Rebecca","Torres","763 Burns Parkway Suite 707, Douglasfort, AR 81915","30576.08"
"8","welchzachary@hotmail.com","pbkdf2:sha256:600000$YcYw48148V1QisGk$592ac6db953f5ad09f311c3a63ca398e0a4ea5293db0e71f8c8febe422477ec3","Kevin","Williams","USCGC Carpenter, FPO AA 33891","73540.00"
"9","meyersangelica@yahoo.com","pbkdf2:sha256:600000$iBBscHSJCxKFfYQP$67cc0e70897d94699c12c34c5fd38fe357d73605170f1fee14f997247086c521","James","Olson","USNS Burns, FPO AE 37069","55618.49"
"10","glester@hotmail.com","pbkdf2:sha256:600000$WSoI8nTzJfEKGnKV$54304a1e54ba2e8d8507b45ebe5ab4d6cc5b66e78880c5d2da1bbf820a9607c4","Mark","Burnett","7403 Donna Park Suite 851, Derrickfurt, VT 25544","54603.05"
"11","oliverstephen@gmail.com","pbkdf2:sha256:600000$eZcsw2RUqU7MM7LL$7243114150992dfab8429e23118aa9718aa57bb8e193a951bcb02e8f7a70034f","Justin","Martinez","6007 Michael Skyway Apt. 738, Francisfurt, MA 35869","76048.48"
"12","rfischer@yahoo.com","pbkdf2:sha256:600000$gtyg7oa3eeQcEPnu$6934c60a6965b3943f5dd3c114a5e555d149f7ec45f407f3b660b0352f0fcfd8","Gloria","Smith","8885 Lee Tunnel Suite 208, Port Donna, WY 74331","65708.69"
"13","richard29@gmail.com","pbkdf2:sha256:600000$PgARNppZgpZfr81n$c798dbc95c49e9440f9abbafb105dabac5cb868487393c4d7819f3759f40c2b1","James","Mccall","22708 Madison Spurs, Herringstad, AS 77293","11824.34"
"14","emily97@yahoo.com","pbkdf2:sha256:600000$vV1E8KHgUdIHtoKU$77a26f2fe067252f5cf80abed22d892be11e1fb5aa252f745659aee135f4b630","Lisa","Williams","61511 Michael Fall Suite 905, Gibbsfort, NJ 11045","8640.81"
"15","tammy66@gmail.com","pbkdf2:sha256:600000$xho9N1bs1ge6Diwq$015c38d48596bce0661db39ac33fe09c504cba781d73865cc1c4cac301cba3aa","Paula","Rodriguez","76914 Dyer Landing Apt. 997, West Billy, MD 51720","18026.06"
"16","rhess@gmail.com","pbkdf2:sha256:600000$JaXbuis430LYjlDm$12f03b5c8e94508e17727fa2a84920fed57dcfcaafb9b8441cc591e8efb8c43e","Sabrina","Kelly","399 Joseph Street, South Christopher, AZ 01875","15751.75"
